Case Tag,Secondary Tags (for mapping),SA Case Group,SA Case Type,SA Case Subtype,Apply mapping if,AND…
IN SOL,,,,,,
IN STATUE,,,,,,
In Statute,,,,,,
IN SUIT,,,,,,
IN SUIT - DEV,,,,,,
IN SUIT - STG,,,,,,
IN SUIT - STG (CLG ONLY),,,,,,
IN SUIT - STG ONLY,,,,,,
IN SUIT - VQ,,,,,,
IN SUIT - VQ ONLY,,,,,,
IN SUIT (filed by CLG),,,,,,
In Suit @SSS,,,,,,
In Suit-GMS SFC,,,,,,
inc,,,,,,
Incarcerated,,,,,,
Incarcerated - Federal,,,,,,
Incarcerated - Federal Detention Center,,,,,,
Incarcerated - SCI Albion,,,,,,
Incarcerated - SCI Chester,,,,,,
Incarcerated SCI Rockview,,,,,,
INCLUDE MIDDLE IN MAIL- SON SHARES SAME NAME AND LIVES AT HOME- MIDDLE INITIAL TO I.D. CLIENT,,,,,,
Ineligible for IRRP program,,,,,,
Ineligible For IVCP,,,,,,
Ineligible for program,,,,,,
Ineligible IRCP,,,,,,
INELIGIBLE TO RECEIVE SETTLEMENT FUNDS,,,,,,
INJECTIONS AND/OR SURGERY PERFORMED,,,,,,
Inmate # 1177536,,,,,,
Insight through Virtua Primary Care,,,,,,
IN-SUIT,,,,,,
IN-SUIT GMS SFC,,,,,,
In-suit Writ of Summons,,,,,,
Interested in Counseling,,,,,,
International Client,,,,,,
Isaacs Foster Home,,,,,,
JAA Referral,,,,,,
JAA/Greg Referral,,,,,,
Jamesburg Training School for Boys,,3. Sexual Abuse - New Jersey,New Jersey Detention Center - State Facilities- MCL,,Case State = NJ,
JB + DP,,,,,,
JCC,,,,,,
Jefferson Abington Hospital,,,,,,
Jehovahs Witness,,3. Sexual Abuse - New Jersey,Non-Catholic Religions (Adult),,Case State = NJ,"No ""minor"" case tag present"
Jehovahs Witness,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Non-Catholic Religions (Minor),,Case State = NJ,case also has one or more of the tags in column B
Jehovahs Witness,,4. Sexual Abuse - Pennsylvania,Non-Catholic Religions Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Jehovahs Witness,,4. Sexual Abuse - Pennsylvania,Non-Catholic Religions ,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
John Cuff's brother,,,,,,
John Falciani Referral,,,,,,
John likes,,,,,,
John Wieder Esq. Referral,,,,,,
Joseph C. Caruso,,,,,,
Joseph Traub Referral,,,,,,
JR Masterman School,,,,,,
Juvenile Justice Services Center,,3. Sexual Abuse - New Jersey,Juvenile Detention Center,,Case State = NJ,
Juvenile Medium Security Facility,,3. Sexual Abuse - New Jersey,New Jersey Detention Center - State Facilities - MCL,,Case State = NJ,
KEEP CONFIDENTIAL,,,,,,
Keystone Adolescent Center,,,,,,
KidsPeace,,4. Sexual Abuse - Pennsylvania,Kids Peace,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
KidsPeace,,4. Sexual Abuse - Pennsylvania,Kids Peace Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Kingdom Life Childcare,,,,,,
Knights of Columbus,,,,,,
Kwartler Manus Referral,,,,,,
Lackawanna County Children's Services,,,,,,
Lackawanna County Juvenile Detention,,,,,,
Lancaster County,,,,,,
Lancaster County Juvenile Detention,,,,,,
Lancaster Youth Intervention Center,,,,,,
LATE FILER,,,,,,
Laura Ahearn Referral,,,,,,
LawCash/Cartiga,,,,,,
Lay Person,,,,,,
LBFR Call In,,,,,,
LBFR Call-In,,,,,,
Legal Bay Funding LLC,,,,,,
Lehigh County Facility,,,,,,
Leonia BOE,,,,,,
Letter of Protection,,,,,,
LEVEL 1,,,,,,
LEVEL 1 - SUPPLEMENTAL BENEFITS,,,,,,
Level 1 QD,,,,,,
Levinson Axelrod Referral,,,,,,
Levy Konigsberg Ref,,,,,,
Lima Detention Center,,4. Sexual Abuse - Pennsylvania,Juvenile Detention Center ,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Lima Detention Center -TD,,,,,,
LIMITED TORT/LIMITATION ON LAWSUIT,,,,,,
Lisa Carcel's sister,,,,,,
Lisa Dorn (Derivative Claimant),,,,,,
Little League Coach,,3. Sexual Abuse - New Jersey,Little League,,Case State = NJ,
LIVES WITH MOTHER- SEND ALL CORRESPONDENCE TO PRIVATE MAIL BOX!!,,,,,,
LOAN,,,,,,
LOP to crim defense atty,,,,,,
Loysville Youth Development Center,,,,,,
MAF,,,,,,
MAF - NO QD,,,,,,
Maguire AFB,,,,,,
Malvern Treatment Center,,,,,,
Mander Summer Camp,,,,,,
Marcus,,,,,,
Marist Brothers,,,,,,
Martin Luther King High School,,,,,,
Matt Solomon Referral,,,,,,
Medicaid,,,,,,
Medical Treatment,,,,,,
Medicare LIEN,,,,,,
Mental Health and Mental Retardation (MHR),,,,,,
MENTION LEVY BALDANTE WHEN CALLING DO NOT MENTION CASE,,,,,,
Messiah's Light House,,,,,,
Metuchen,,3. Sexual Abuse - New Jersey,Metuchin Diocese (Adult),,Case State = NJ,"No ""minor"" case tag present"
Metuchen,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Metuchin Diocese (Minor),,Case State = NJ,case also has one or more of the tags in column B
MHY Family Services,,,,,,
Michigan,,,,,,
Middlesex County Jail,,3. Sexual Abuse - New Jersey,New Jersey Detention Centre- Middlesex County,,Case State = NJ,
Middlesex County Shelter,,,,,,
Middlesex County Youth Services,,,,,,
MINOR,,,,,,
Minor- Misc.,,,,,,
Missed TA client,,,,,,
Missing CLG File,,,,,,
MJ DOE v. Devereux,,,,,,
Monmouth County Juvenile,,3. Sexual Abuse - New Jersey,Juvenile Detention Center,,Case State = NJ,
Monsignor Bonner & Archbishop Prendergast Catholic High School,,4. Sexual Abuse - Pennsylvania,Philadelphia Archdiocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Monsignor Bonner & Archbishop Prendergast Catholic High School,,4. Sexual Abuse - Pennsylvania,Philadelphia Archdiocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Montgomery County Youth Center,,4. Sexual Abuse - Pennsylvania,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Montgomery County Youth Correctional Facility,,4. Sexual Abuse - Pennsylvania,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Montgomery Youth Center,,4. Sexual Abuse - Pennsylvania,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Morris County Juvenile Detention Center,,3. Sexual Abuse - New Jersey,Juvenile Detention Center,,Case State = NJ,
Mt. Airy Playground Rec Center,,,,,,
MUST BE FILED AS JOHN DOE,,,,,,
mycase,,,,,,
Nancy Sapp's Cousin,,,,,,
Nancy Sapp's Sister,,,,,,
Nancy Winkler at Eisenberg Rothweiler Referral,,,,,,
Needs CDR,,,,,,
New,,,,,,
New Address 4184 Irish Highland Dr.,,,,,,
New Jersey Training School,,,,,,
New Jersey Training School for boys,,,,,,
New Light Baptist,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Non-Catholic Religions (Minor),,Case State = NJ,case also has one or more of the tags in column B
Newark,,3. Sexual Abuse - New Jersey,Newark Archdiocese (Adult),,Case State = NJ,"No ""minor"" case tag present"
Newark,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Newark Archdiocese (Minor),,Case State = NJ,case also has one or more of the tags in column B
Newark Ar,,3. Sexual Abuse - New Jersey,Newark Archdiocese (Adult),,Case State = NJ,"No ""minor"" case tag present"
Newark Ar,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Newark Archdiocese (Minor),,Case State = NJ,case also has one or more of the tags in column B
Newark Archdiocese,,3. Sexual Abuse - New Jersey,Newark Archdiocese (Adult),,Case State = NJ,"No ""minor"" case tag present"
Newark Archdiocese,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Newark Archdiocese (Minor),,Case State = NJ,case also has one or more of the tags in column B
Next Level Martial Arts,,,,,,
NFL,,,,,,
NJ,,,,,,
NJ  Claim,,,,,,
NJ - Non Catholic Church,,,,,,
NJ 3rd Party,,,,,,
NJ 3rd Party Case,,,,,,
NJ 3rd Party minor,,,,,,
NJ ADULT,,,,,,
NJ Adult Case,,,,,,
NJ Archdiocese,,,,,,
NJ Baptist Church,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Non-Catholic Religion (Minor),,Case State = NJ,case also has one or more of the tags in column B
NJ Chuch,,,,,,
NJ Church,,,,,,
NJ Church Claim,,,,,,
NJ Crossover,,,,,,
NJ Crossover Case,,,,,,
NJ crossover claim,,,,,,
NJ- CSA/Medical Setting,,,,,,
NJ CVA,,,,,,
NJ Dentention Center,,,,,,
NJ Detention Center,,,,,,
NJ Doctor,,3. Sexual Abuse - New Jersey,Medical Professional (Adult),,Case State = NJ,"No ""minor"" case tag present"
NJ Doctor,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Medical Professional (Minor),,Case State = NJ,case also has one or more of the tags in column B
NJ Does Meet Criteria,,,,,,
NJ Dr. Renner,,3. Sexual Abuse - New Jersey,Medical Professional (Adult),,Case State = NJ,"No ""minor"" case tag present"
NJ Dr. Renner,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Medical Professional (Minor),,Case State = NJ,case also has one or more of the tags in column B
NJ DYFS,,3. Sexual Abuse - New Jersey,Child Welfare Agency,,Case State = NJ,
NJ Episcopal Church,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Non-Catholic Religion (Minor),,Case State = NJ,case also has one or more of the tags in column B
NJ GENERAL (MINOR),,,,,,
NJ Juvenile Detention Center,,3. Sexual Abuse - New Jersey,Juvenile Detention Center,,Case State = NJ,
NJ Minor Abuse Claim,,,,,,
NJ Minor claim,,,,,,
NJ Minors,,,,,,
NJ non-catholic church,,,,,,
NJ Non-Program,,,,,,
NJ Orthodox Church,,,,,,
NJ Police Athletic League (PAL),,,,,,
NJ Religious Order,,3. Sexual Abuse - New Jersey,Religious Orders (Adult),,Case State = NJ,"No ""minor"" case tag present"
NJ Religious Order,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Religious Orders (Minor),,Case State = NJ,case also has one or more of the tags in column B
NJ School,,3. Sexual Abuse - New Jersey,School,,Case State = NJ,
NJ School Case,,3. Sexual Abuse - New Jersey,School,,Case State = NJ,
NJ School Claim,,3. Sexual Abuse - New Jersey,School,,Case State = NJ,
NJ Schools,,3. Sexual Abuse - New Jersey,School,,Case State = NJ,
NJ Sex Abuse Case,,,,,,
NJ Training School for Boys,,3. Sexual Abuse - New Jersey,New Jersey Dentention Center- State Facilities - MCL,,Case State = NJ,
NJ Youth Advocate,,3. Sexual Abuse - New Jersey,,,Case State = NJ,
NJ-Doctor,,3. Sexual Abuse - New Jersey,Medical Professional (Adult),,Case State = NJ,"No ""minor"" case tag present"
NJ-Doctor,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Medical Professional (Minor),,Case State = NJ,case also has one or more of the tags in column B
NJTS,,3. Sexual Abuse - New Jersey,New Jersey Dentention Center- State Facilities - MCL,,Case State = NJ,
NO EMAIL-WIFE DOES NOT KNOW,,,,,,
NO LONGER REPRESENT,,,,,,
NO LONGER REPRESENT-HIRED NEW FIRM,,,,,,
NO LONGER REPRESENTING,,,,,,
NO MAIL-JUST EMAIL!!,,,,,,
No medical treatment,,,,,,
NO MEDICARE LIEN,,,,,,
NO MEDICARE OR MEDICAID,,,,,,
NO MORE LOANS,,,,,,
NO MORE LOANS!,,,,,,
No name - TD,,,,,,
NO QD,,,,,,
No retainer yet,,,,,,
Noah Goodman,,,,,,
Non- Clergy,,,,,,
Non-Catholic,,,,,,
Non-Catholic Religion,,,,,,
NON-Clergy,,,,,,
NON-Clergy - Newark,,,,,,
Non-Client inquiry,,,,,,
Non-minor claim,,,,,,
Non-Program Case,,,,,,
North Central Secure Treatment Unit,,,,,,
North Central Secure Treatment Unit in PA.,,,,,,
Northampton County Human Services,,,,,,
Northeast Catholic High School,,,,,,
Northwestern Academy,,,,,,
Northwestern Academy PA,,,,,,
NOT A MINOR- NOT ELIGIBLE,,,,,,
NOT A MINOR- NOT ELIGIBLE FOR IVCP,,,,,,
NOT BAP Eligible,,,,,,
NOT ELIGIBLE,,,,,,
NOT ELIGIBLE FOR NJ COMPENSATION PROGRAM,,,,,,
Not Eligible For PA Program,,,,,,
NOT ELIGIBLE FOR PHL PROGRAM,,,,,,
NOT GOOD WITNESS,,,,,,
Not in custody,,,,,,
NOT PURSUING VQ CLAIM,,,,,,
NOTE: Hearing impaired,,,,,,
Notice - Eligible for Expanded BAP Exam,,,,,,
Notice of Eligibility for Expanded BAP Exam,,,,,,
Now DECEASED - TD,,,,,,
Nun abuse- not priest,,,,,,
NUN CASE,,,,,,
Nursing Home NJ,,,,,,
NY Case,,,,,,
NY School Case,,,,,,
Oasis Loan,,,,,,
Oblates,,4. Sexual Abuse - Pennsylvania ,Religious Orders,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Oblates,,4. Sexual Abuse - Pennsylvania ,Religious Order Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Ocean County Juv Detention Center,,3. Sexual Abuse - New Jersey,New Jersey Detentio Center- Ocean County,,Case State = NJ,
Ocean residential JJC,,,,,,
Ocean's Harbor House,,,,,,
Offered Expanded BAP,,,,,,
OFM,,,,,,
on parole,,,,,,
ONLY CALL CELL,,,,,,
ONLY EMAIL!!! DO NOT MAIL DOCS TO HOME!!!,,,,,,
ONLY SEND DOCS TO EMAIL!,,,,,,
ONLY SEND DOCS TO EMAIL! NO MAIL!,,,,,,
ONLY VAL TO CALL! SENSTIVE CLIENT,,,,,,
Original BAP Exams Not Completed,,,,,,
Out of SOL,,,,,,
OUT OF SOL-GMS,,,,,,
Over 30,,,,,,
OVER 55,,,,,,
OVER 55 y/o,,,,,,
overlapping,,,,,,
PA,,,,,,
PA 3rd Party,,,,,,
PA 3rd Party Case,,,,,,
PA Archdiocese,,,,,,
PA Case,,,,,,
PA Child Support Lien,,,,,,
PA Church,,,,,,
PA Crossover,,,,,,
PA Does Not Meet Criteria,,,,,,
PA General Sex Abuse,,4. Sexual Abuse - Pennsylvania ,General Sex Abuse,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
PA In Statute,,,,,,
PA Juvenile Detention,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
PA Not Retained,,,,,,
PA rehab center,,,,,,
PA School,,4. Sexual Abuse - Pennsylvania ,School,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
PA Window Case,,,,,,
Palestinian Orthodox Church,,,,,,
Paoli Hospital,,,,,,
Paradise School for Boys,,,,,,
Parkinson’s,,,,,,
Passaic County Youth Detention Center,,3. Sexual Abuse - New Jersey,New Jersey Detention Center- Misc. County,,Case State = NJ,
Passed away,,,,,,
Paterson,,3. Sexual Abuse - New Jersey,Paterson Diocese (Adult),,Case State = NJ,"No ""minor"" case tag present"
Paterson,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Paterson Diocese (Minor),,Case State = NJ,case also has one or more of the tags in column B
Paterson BOE,,3. Sexual Abuse - New Jersey,School,,Case State = NJ,
Paterson Diocese,,3. Sexual Abuse - New Jersey,Paterson Diocese (Adult),,Case State = NJ,"No ""minor"" case tag present"
Paterson Diocese,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Paterson Diocese (Minor),,Case State = NJ,case also has one or more of the tags in column B
Patrick F. Healy Middle School or John L. Costley,,3. Sexual Abuse - New Jersey,School,,Case State = NJ,
Patterson,,3. Sexual Abuse - New Jersey,Paterson Diocese (Adult),,Case State = NJ,"No ""minor"" case tag present"
Patterson,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Paterson Diocese (Minor),,Case State = NJ,case also has one or more of the tags in column B
Paul D’Amato Referral,,,,,,
Paul Lauricella Referral,,,,,,
Paul Turkheimer Referral,,,,,,
Pending information,,,,,,
Penn Hills Senior High School,,,,,,
Pennsylvania Juvenile Detention,,,,,,
Pennsylvania Psychiatric Institute,,,,,,
PERP CONVICTED,,,,,,
Perp. + client Franco Iemmello,,,,,,
Perp. + client Mike Robertazzi,,,,,,
Peter Baron Referral,,,,,,
Petrov Ballet School,,3. Sexual Abuse - New Jersey,School,,Case State = NJ,
PFS submitted,,,,,,
Phelps Private Boarding School,,,,,,
Philadelphia Archdiocese,,4. Sexual Abuse - Pennsylvania,Philadelphia Archdiocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Philadelphia Archdiocese,,4. Sexual Abuse - Pennsylvania,Philadelphia Archdiocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Philadelphia Day Care,,,,,,
Philadelphia Diocese,,4. Sexual Abuse - Pennsylvania,Philadelphia Archdiocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Philadelphia Diocese,,4. Sexual Abuse - Pennsylvania,Philadelphia Archdiocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Philadelphia Youth Study Center,,4. Sexual Abuse - Pennsylvania,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Philadlephia Archdiocese,,4. Sexual Abuse - Pennsylvania,Philadelphia Archdiocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Philadlephia Archdiocese,,4. Sexual Abuse - Pennsylvania,Philadelphia Archdiocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Physical & Sexual Abuse,,,,,,
PHYSICAL ONLY,,,,,,
Physician,,,,,,
Pittsburgh,,4. Sexual Abuse - Pennsylvania,Pittsburgh Diocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Pittsburgh,,4. Sexual Abuse - Pennsylvania,Pittsburgh Diocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Pittsburgh Archdiocese,,4. Sexual Abuse - Pennsylvania,Pittsburgh Diocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Pittsburgh Archdiocese,,4. Sexual Abuse - Pennsylvania,Pittsburgh Diocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Pittsburgh Diocese,,4. Sexual Abuse - Pennsylvania,Pittsburgh Diocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Pittsburgh Diocese,,4. Sexual Abuse - Pennsylvania,Pittsburgh Diocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Please Contact Letter Sent,,,,,,
PNC,,,,,,
Point Pleasant Borough High School,,,,,,
Portersville Christian School,,,,,,
Possibly sending to MAF,,,,,,
POST PROGRAM DEADLINE,,,,,,
Potential 3rd Party PI claim,,,,,,
Potential son abuse,,,,,,
PREFERS PHONE CALLS NOT EMAILS,,,,,,
PREFERS TEXT MESSAGES,,,,,,
Prefers to be called Vince,,,,,,
Premonstratensian Order,,4. Sexual Abuse - Pennsylvania,Religious Order,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Premonstratensian Order,,4. Sexual Abuse - Pennsylvania,Religious Order Minor (DOB afteer 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Presbyterian Church,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Non-Catholic Religion (Minor),,Case State = NJ,case also has one or more of the tags in column B
Presbyterian Church,,3. Sexual Abuse - New Jersey,Non-Catholic Religion (Adult),,Case State = NJ,"No ""minor"" case tag present"
Pre-settlement loan,,,,,,
PRE-SETTLEMENT LOAN-Covered Bridge,,,,,,
Pressley Ridge,,,,,,
Priest Credibly Accused,,,,,,
PRIOR INJURY-SAME BODY PART,,,,,,
PRIOR TO CALLING – TEXT “I’M INTERESTED IN THE PROPERTY ON PALMER DRIVE”,,,,,,
PRIORITY CASE,,,,,,
Program suspended,,,,,,
Public School,,4. Sexual Abuse - Pennsylvania,School,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
QD 1.5,,,,,,
QD LEVEL 1,,,,,,
Questionnaire mailed 4/30,,,,,,
Questionnaire mailed 5/10,,,,,,
Questionnaire mailed 5/13,,,,,,
Questionnaire mailed 5/6,,,,,,
Questionnaire mailed 5/6.,,,,,,
Questionnaire submitted 4/25,,,,,,
Rachel Possinger Referral,,,,,,
Ralph Brook's Brother,,,,,,
Raynes & Lawn Referral,,,,,,
Rec'd Determination Letter,,,,,,
Rec'd IRRP Determination Letter - Ineligible,,,,,,
Received Determination Letter,,,,,,
RECEIVES MEDICARE,,,,,,
rec's Medicaid,,,,,,
rec's Medicare,,,,,,
Red Bank Middle School,,3. Sexual Abuse - New Jersey ,School,,Case State = NJ,
Ref: Chris Dore (edelson Firm),,,,,,
referral attorney,,,,,,
Referral atty Phil Mattia Esq.,,,,,,
referral from Bobby Moak Esq,,,,,,
Referral from Eisenberg Rothweiler,,,,,,
Referral from Marc Neff Esq.,,,,,,
Referral from Rod Dellano,,,,,,
Referral from Stacy Mogul Esq.,,,,,,
Referred by Alberto Matos,,,,,,
Referred by Francis Dzwoniarek,,,,,,
Referred by Michael Canavan,,,,,,
Referred by Raymond Marino,,,,,,
Reg Deadline Passed-Ineligible,,,,,,
REGISTERED,,,,,,
Registering as a NJ Claim,,,,,,
Rejected,,,,,,
Rejection Letter,,,,,,
Rejection letter sent,,,,,,
Religious Order,,,,,,
Religious Order Priest,,,,,,
Religous Order,,,,,,
Removed from list,,,,,,
Removed from portal,,,,,,
Repeat Perp. E. Marcone,,,,,,
Represented by another firm,,,,,,
Residential Home: Arthur Brisbane Child Treatment Center,,3. Sexual Abuse - New Jersey,Child Welfare Agency,,Case State = NJ,
Robins Kaplan Referral,,,,,,
Rod Dellano Referral,,,,,,
Ron Sherman Referral,,,,,,
Roosevelt School No 7,,3. Sexual Abuse - New Jersey,School,,Case State = NJ,
Royal Rangers,,4. Sexual Abuse - Pennsylvania,Non-Catholic Religion,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
S.M. (Marianists-Society of Mary),,3. Sexual Abuse - New Jersey,Religious Order,,Case State = NJ,
Saint Gabriel's hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Saint Gabriel's hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Saint Gabriel's System,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Saint Gabriel's System,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Salesians Don Bosco,,3. Sexual Abuse - New Jersey,Religious Order,,Case State = NJ,
Salvation Army,,,,,,
SAME ABUSER AS EMIL S.,,,,,,
SAME ABUSER AS GERARD  STEFANELLI,,,,,,
SAME ABUSER AS MICHAEL STRADFORD,,,,,,
SAME PERP AS ISAACS & F. CLARK,,,,,,
Same perp as M. Isaacs,,,,,,
Samuels Foster Home,,,,,,
School Abuse Case,,,,,,
School Case,,,,,,
Scott Leonard Referral,,,,,,
Scranton,,4. Sexual Abuse - Pennsylvania,Scranton Diocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Scranton Diocese,,4. Sexual Abuse - Pennsylvania,Scranton Diocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Scraton Diocese,,4. Sexual Abuse - Pennsylvania,Scranton Diocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Sean Pena Referral,,,,,,
secondary referral from Michael Crane Esq,,,,,,
See Gregory Wilkerson File re. Investigation,,,,,,
SEE VS NOTE 05/10,,,,,,
Sent to Investigator,,,,,,
Sent to PI,,,,,,
SERIOUS CASE,,,,,,
SETTLED,,,,,,
Settled - Devereux,,,,,,
SEX ABUSE-POTENTIAL,,,,,,
SEXUAL,,,,,,
Sexual abuse,,,,,,
SEXUAL-POTENTIAL,,,,,,
Shawn Phone #404-429-3996,,,,,,
She/Her Pronouns,,,,,,
Shuman Juvenile Detention Center,,,,,,
SIGNED UP WITH ANOTHER LAW FIRM,,,,,,
Silver & Silver Referral,,,,,,
Silver Springs Martin Luther King School,,4. Sexual Abuse - Pennsylvania,School,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Sister of Nancy Astin-Manno,,,,,,
Skillman Juvenile Detention Center,,3. Sexual Abuse - New Jersey,New Jersey Detention Center - State Facilities - MCL,,Case State = NJ,
Slade McLaughlin referral,,,,,,
Sleighton Farms School for Girls,,3. Sexual Abuse - New Jersey,New Jersey Detention Center - State Facilities - MCL,,Case State = NJ,
Social Services,,,,,,
SOL Runs: 11/16/22,,,,,,
Somerset County Rehab Center,,,,,,
South Mountain Restoration Center,,,,,,
Sports Team,,,,,,
SSS,,,,,,
SSS Handling BSA Claim,,,,,,
SSS Referral,,,,,,
SSS Referral - STG,,,,,,
SSS Referral (Devereux),,,,,,
SSS/CLG Dual Rep,,,,,,
st gabriels hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
st gabriels hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
St Gabriel's Hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
St Gabriel's Hall,,4. Sexual Abuse - Pennsylvania,St. Gabriel's Hall Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
St Michael's School for Boys,,4. Sexual Abuse - Pennsylvania,Scraton Diocese,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
